iter	Passed	Remaining
796	37720	9607
797	37763	9559
798	37808	9511
799	37856	9464
800	37905	9417
801	37952	9369
802	37995	9321
803	38041	9273
804	38093	9227
805	38139	9180
806	38187	9132
807	38232	9084
808	38276	9036
809	38325	8989
810	38370	8942
811	38416	8894
812	38472	8849
813	38517	8801
814	38562	8753
815	38610	8706
816	38660	8659
817	38706	8611
818	38751	8564
819	38797	8516
820	38844	8469
821	38892	8422
822	38937	8374
823	38982	8326
824	39028	8278
825	39074	8231
826	39119	8183
827	39170	8136
828	39217	8089
829	39263	8041
830	39308	7994
831	39354	7946
832	39400	7899
833	39446	7851
834	39491	7803
835	39540	7756
836	39587	7709
837	39633	7661
838	39679	7614
839	39724	7566
840	39771	7519
841	39818	7471
842	39864	7424
843	39913	7377
844	39960	7329
845	40006	7282
846	40056	7235
847	40103	7188
848	40151	7141
849	40200	7094
850	40245	7046
851	40292	6999
852	40338	6951
853	40381	6903
854	40429	6856
855	40476	6809
856	40521	6761
857	40572	6714
858	40617	6667
859	40672	6621
860	40716	6573
861	40761	6525
862	40808	6478
863	40852	6430
864	40900	6383
865	40946	6335
866	40991	6288
867	41036	6240
868	41080	6192
869	41125	6145
870	41170	6097
871	41218	6050
872	41266	6003
873	41315	5956
874	41361	5908
875	41415	5862
876	41460	5814
877	41504	5767
878	41551	5719
879	41596	5672
880	41642	5624
881	41685	5576
882	41730	5529
883	41775	5481
884	41821	5434
885	41871	5387
886	41917	5340
887	41961	5292
888	42006	5244
889	42066	5199
890	42114	5151
891	42159	5104
892	42203	5056
893	42249	5009
894	42296	4962
895	42341	4914
896	42389	4867
897	42436	4820
898	42482	4772
899	42527	4725
900	42576	4678
901	42620	4630
902	42664	4583
903	42710	4535
904	42757	4488
905	42806	4441
906	42855	4394
907	42901	4346
908	42947	4299
909	42994	4252
910	43040	4204
911	43086	4157
912	43134	4110
913	43180	4062
914	43230	4015
915	43278	3968
916	43324	3921
917	43369	3874
918	43416	3826
919	43462	3779
920	43508	3732
921	43555	3684
922	43599	3637
923	43645	3589
924	43689	3542
925	43734	3494
926	43782	3447
927	43833	3400
928	43887	3354
929	43937	3307
930	43983	3259
931	44028	3212
932	44074	3165
933	44122	3117
934	44165	3070
935	44209	3022
936	44256	2975
937	44319	2929
938	44365	2882
939	44410	2834
940	44456	2787
941	44506	2740
942	44555	2693
943	44602	2645
944	44646	2598
945	44691	2551
946	44736	2503
947	44779	2456
948	44823	2408
949	44870	2361
950	44920	2314
951	44965	2267
952	45012	2219
953	45060	2172
954	45105	2125
955	45152	2078
956	45197	2030
957	45244	1983
958	45293	1936
